secid,ticker,exchangecd,secshortname,enddate,period,overallrating
000014.OFCN,14,,华夏聚利债券,2021-03-31,3,5
000014.OFCN,14,,华夏聚利债券,2021-03-31,5,5
000032.OFCN,32,,易方达信用债债券-A,2021-03-31,5,5
000045.OFCN,45,,工银瑞信产业债债券-A,2021-03-31,3,5
000045.OFCN,45,,工银瑞信产业债债券-A,2021-03-31,5,5
000046.OFCN,46,,工银瑞信产业债债券-B,2021-03-31,5,5
000046.OFCN,46,,工银瑞信产业债债券-B,2021-03-31,3,5
000047.OFCN,47,,华夏双债增强债券-A,2021-03-31,3,5
000047.OFCN,47,,华夏双债增强债券-A,2021-03-31,5,5
000048.OFCN,48,,华夏双债增强债券-C,2021-03-31,5,5
000048.OFCN,48,,华夏双债增强债券-C,2021-03-31,3,5
000054.OFCN,54,,鹏华双债增利债券,2021-03-31,3,5
000054.OFCN,54,,鹏华双债增利债券,2021-03-31,5,5
000083.OFCN,83,,汇添富消费行业混合,2021-03-31,5,5
000084.OFCN,84,,博时安盈债券-A,2021-03-31,5,5
000084.OFCN,84,,博时安盈债券-A,2021-03-31,3,5
000085.OFCN,85,,博时安盈债券-C,2021-03-31,3,5
000085.OFCN,85,,博时安盈债券-C,2021-03-31,5,5
000121.OFCN,121,,华夏永福混合-A,2021-03-31,5,5
000128.OFCN,128,,大成景安短融债券-A,2021-03-31,5,5
000128.OFCN,128,,大成景安短融债券-A,2021-03-31,3,5
000129.OFCN,129,,大成景安短融债券-B,2021-03-31,5,5
000129.OFCN,129,,大成景安短融债券-B,2021-03-31,3,5
000139.OFCN,139,,富国国有企业债债券-A/B,2021-03-31,5,5
000143.OFCN,143,,鹏华双债加利债券,2021-03-31,3,5
000143.OFCN,143,,鹏华双债加利债券,2021-03-31,5,5
000171.OFCN,171,,易方达裕丰回报债券,2021-03-31,5,5
000171.OFCN,171,,易方达裕丰回报债券,2021-03-31,3,5
000186.OFCN,186,,华泰柏瑞季季红债券,2021-03-31,3,5
000186.OFCN,186,,华泰柏瑞季季红债券,2021-03-31,5,5
000190.OFCN2,190,,中银新回报灵活配置混合-A,2021-03-31,5,5
000215.OFCN,215,,广发趋势优选灵活配置混合-A,2021-03-31,5,5
000286.OFCN,286,,银华信用季季红债券-A,2021-03-31,5,5
000294.OFCN,294,,华安生态优先混合,2021-03-31,5,5
000294.OFCN,294,,华安生态优先混合,2021-03-31,3,5
000308.OFCN,308,,建信创新中国混合,2021-03-31,3,5
000338.OFCN,338,,鹏华双债保利债券,2021-03-31,5,5
000338.OFCN,338,,鹏华双债保利债券,2021-03-31,3,5
000355.OFCN,355,,南方丰元信用增强债券-A,2021-03-31,3,5
000356.OFCN,356,,南方丰元信用增强债券-C,2021-03-31,3,5
000362.OFCN,362,,国泰聚信价值优势灵活配置混合-A,2021-03-31,3,5
000362.OFCN,362,,国泰聚信价值优势灵活配置混合-A,2021-03-31,5,5
000363.OFCN,363,,国泰聚信价值优势灵活配置混合-C,2021-03-31,5,5
000363.OFCN,363,,国泰聚信价值优势灵活配置混合-C,2021-03-31,3,5
000367.OFCN,367,,国泰安康定期支付混合-A,2021-03-31,5,5
000385.OFCN,385,,景顺长城景颐双利债券-A,2021-03-31,5,5
000385.OFCN,385,,景顺长城景颐双利债券-A,2021-03-31,3,5
000386.OFCN,386,,景顺长城景颐双利债券-C,2021-03-31,3,5
000386.OFCN,386,,景顺长城景颐双利债券-C,2021-03-31,5,5
000390.OFCN,390,,华商优势行业灵活配置混合,2021-03-31,3,5
000394.OFCN2,394,,融通通源短融债券-A,2021-03-31,3,5
000394.OFCN2,394,,融通通源短融债券-A,2021-03-31,5,5
000406.OFCN,406,,汇添富双利增强债券-A,2021-03-31,5,5
000406.OFCN,406,,汇添富双利增强债券-A,2021-03-31,3,5
000407.OFCN,407,,汇添富双利增强债券-C,2021-03-31,3,5
000407.OFCN,407,,汇添富双利增强债券-C,2021-03-31,5,5
000408.OFCN,408,,民生加银城镇化灵活配置混合-A,2021-03-31,3,5
000408.OFCN,408,,民生加银城镇化灵活配置混合-A,2021-03-31,5,5
000507.OFCN,507,,泰达宏利宏达混合-A,2021-03-31,5,5
000507.OFCN,507,,泰达宏利宏达混合-A,2021-03-31,3,5
000508.OFCN,508,,泰达宏利宏达混合-B,2021-03-31,3,5
000508.OFCN,508,,泰达宏利宏达混合-B,2021-03-31,5,5
000527.OFCN,527,,南方新优享灵活配置混合-A,2021-03-31,5,5
000547.OFCN,547,,建信健康民生混合,2021-03-31,3,5
000556.OFCN,556,,国投瑞银新机遇灵活配置混合-A,2021-03-31,5,5
000557.OFCN,557,,国投瑞银新机遇灵活配置混合-C,2021-03-31,5,5
000563.OFCN,563,,南方通利债券-A,2021-03-31,3,5
000564.OFCN,564,,南方通利债券-C,2021-03-31,3,5
000572.OFCN,572,,中银多策略灵活配置混合-A,2021-03-31,5,5
000573.OFCN,573,,天弘通利混合,2021-03-31,5,5
000573.OFCN,573,,天弘通利混合,2021-03-31,3,5
000577.OFCN,577,,安信价值精选股票,2021-03-31,5,5
000584.OFCN,584,,新华鑫益灵活配置混合,2021-03-31,5,5
000595.OFCN,595,,嘉实泰和混合,2021-03-31,3,5
000597.OFCN,597,,中海积极收益灵活配置混合,2021-03-31,5,5
000597.OFCN,597,,中海积极收益灵活配置混合,2021-03-31,3,5
000619.OFCN,619,,东方红产业升级灵活配置混合,2021-03-31,5,5
000652.OFCN,652,,博时裕隆灵活配置混合,2021-03-31,3,5
000663.OFCN,663,,国投瑞银美丽中国灵活配置混合,2021-03-31,3,5
000727.OFCN,727,,融通健康产业灵活配置混合-A/B,2021-03-31,3,5
000746.OFCN,746,,招商行业精选股票,2021-03-31,5,5
000746.OFCN,746,,招商行业精选股票,2021-03-31,3,5
000753.OFCN,753,,华宝量化对冲策略混合-A,2021-03-31,5,5
000803.OFCN,803,,工银瑞信研究精选股票,2021-03-31,3,5
000810.OFCN,810,,富国收益增强债券-A,2021-03-31,5,5
000810.OFCN,810,,富国收益增强债券-A,2021-03-31,3,5
000812.OFCN,812,,富国收益增强债券-C,2021-03-31,3,5
000812.OFCN,812,,富国收益增强债券-C,2021-03-31,5,5
000875.OFCN,875,,建信稳定得利债券-A,2021-03-31,5,5
000875.OFCN,875,,建信稳定得利债券-A,2021-03-31,3,5
000876.OFCN,876,,建信稳定得利债券-C,2021-03-31,3,5
000876.OFCN,876,,建信稳定得利债券-C,2021-03-31,5,5
000913.OFCN,913,,农银汇理医疗保健主题股票,2021-03-31,3,5
000924.OFCN,924,,宝盈先进制造灵活配置混合-A,2021-03-31,3,5
000939.OFCN,939,,中银研究精选灵活配置混合-A,2021-03-31,3,5
000973.OFCN,973,,新华增盈回报债券,2021-03-31,5,5
000973.OFCN,973,,新华增盈回报债券,2021-03-31,3,5
000991.OFCN,991,,工银瑞信战略转型主题股票-A,2021-03-31,5,5
000991.OFCN,991,,工银瑞信战略转型主题股票-A,2021-03-31,3,5
001001.OFCN,1001,,华夏债券-A/B,2021-03-31,3,5
001040.OFCN,1040,,新华策略精选股票,2021-03-31,5,5
001040.OFCN,1040,,新华策略精选股票,2021-03-31,3,5
001043.OFCN,1043,,工银瑞信美丽城镇主题股票-A,2021-03-31,5,5
001043.OFCN,1043,,工银瑞信美丽城镇主题股票-A,2021-03-31,3,5
001053.OFCN,1053,,南方创新经济灵活配置混合,2021-03-31,5,5
001054.OFCN,1054,,工银瑞信新金融股票,2021-03-31,3,5
001054.OFCN,1054,,工银瑞信新金融股票,2021-03-31,5,5
001067.OFCN,1067,,鹏华弘盛灵活配置混合-A,2021-03-31,5,5
001067.OFCN,1067,,鹏华弘盛灵活配置混合-A,2021-03-31,3,5
001069.OFCN,1069,,华泰柏瑞消费成长灵活配置混合,2021-03-31,3,5
001070.OFCN,1070,,建信信息产业股票,2021-03-31,3,5
001071.OFCN,1071,,华安媒体互联网混合,2021-03-31,3,5
001102.OFCN,1102,,前海开源国家比较优势灵活配置混合-A,2021-03-31,5,5
001103.OFCN,1103,,前海开源工业革命4.0灵活配置混合,2021-03-31,3,5
001104.OFCN,1104,,华安新丝路主题股票,2021-03-31,3,5
001104.OFCN,1104,,华安新丝路主题股票,2021-03-31,5,5
001110.OFCN,1110,,中欧瑾泉灵活配置混合-A,2021-03-31,5,5
001110.OFCN,1110,,中欧瑾泉灵活配置混合-A,2021-03-31,3,5
001111.OFCN,1111,,中欧瑾泉灵活配置混合-C,2021-03-31,3,5
001111.OFCN,1111,,中欧瑾泉灵活配置混合-C,2021-03-31,5,5
001122.OFCN,1122,,鹏华弘利灵活配置混合-A,2021-03-31,3,5
001122.OFCN,1122,,鹏华弘利灵活配置混合-A,2021-03-31,5,5
001123.OFCN,1123,,鹏华弘利灵活配置混合-C,2021-03-31,3,5
001123.OFCN,1123,,鹏华弘利灵活配置混合-C,2021-03-31,5,5
001136.OFCN,1136,,易方达裕如灵活配置混合,2021-03-31,5,5
001136.OFCN,1136,,易方达裕如灵活配置混合,2021-03-31,3,5
001139.OFCN,1139,,华安新动力灵活配置混合,2021-03-31,3,5
001139.OFCN,1139,,华安新动力灵活配置混合,2021-03-31,5,5
001140.OFCN,1140,,工银瑞信总回报灵活配置混合-A,2021-03-31,3,5
001146.OFCN,1146,,中欧瑾源灵活配置混合-A,2021-03-31,5,5
001146.OFCN,1146,,中欧瑾源灵活配置混合-A,2021-03-31,3,5
001147.OFCN,1147,,中欧瑾源灵活配置混合-C,2021-03-31,5,5
001147.OFCN,1147,,中欧瑾源灵活配置混合-C,2021-03-31,3,5
001164.OFCN,1164,,中欧琪和灵活配置混合-A,2021-03-31,3,5
001164.OFCN,1164,,中欧琪和灵活配置混合-A,2021-03-31,5,5
001165.OFCN,1165,,中欧琪和灵活配置混合-C,2021-03-31,5,5
001172.OFCN,1172,,鹏华弘泽灵活配置混合-A,2021-03-31,5,5
001172.OFCN,1172,,鹏华弘泽灵活配置混合-A,2021-03-31,3,5
001178.OFCN,1178,,前海开源再融资主题精选股票,2021-03-31,5,5
001181.OFCN,1181,,南方改革机遇灵活配置混合,2021-03-31,3,5
001182.OFCN,1182,,易方达安心回馈混合,2021-03-31,5,5
001182.OFCN,1182,,易方达安心回馈混合,2021-03-31,3,5
001183.OFCN,1183,,南方利淘灵活配置混合-A,2021-03-31,3,5
001183.OFCN,1183,,南方利淘灵活配置混合-A,2021-03-31,5,5
001186.OFCN,1186,,富国文体健康股票-A,2021-03-31,5,5
001190.OFCN,1190,,鹏华弘润灵活配置混合-A,2021-03-31,5,5
001190.OFCN,1190,,鹏华弘润灵活配置混合-A,2021-03-31,3,5
001191.OFCN,1191,,鹏华弘润灵活配置混合-C,2021-03-31,5,5
001191.OFCN,1191,,鹏华弘润灵活配置混合-C,2021-03-31,3,5
001193.OFCN,1193,,中金消费升级股票,2021-03-31,3,5
001194.OFCN,1194,,景顺长城稳健回报灵活配置混合-A,2021-03-31,5,5
001194.OFCN,1194,,景顺长城稳健回报灵活配置混合-A,2021-03-31,3,5
001202.OFCN,1202,,东方红领先精选灵活配置混合,2021-03-31,5,5
001203.OFCN,1203,,东方红稳健精选混合-A,2021-03-31,5,5
001203.OFCN,1203,,东方红稳健精选混合-A,2021-03-31,3,5
001204.OFCN,1204,,东方红稳健精选混合-C,2021-03-31,5,5
001216.OFCN,1216,,易方达新收益灵活配置混合-A,2021-03-31,3,5
001216.OFCN,1216,,易方达新收益灵活配置混合-A,2021-03-31,5,5
001217.OFCN,1217,,易方达新收益灵活配置混合-C,2021-03-31,5,5
001217.OFCN,1217,,易方达新收益灵活配置混合-C,2021-03-31,3,5
001222.OFCN,1222,,鹏华外延成长灵活配置混合,2021-03-31,5,5
001224.OFCN,1224,,中邮新思路灵活配置混合,2021-03-31,3,5
001231.OFCN,1231,,银华泰利灵活配置混合-A,2021-03-31,5,5
001236.OFCN,1236,,博时丝路主题股票-A,2021-03-31,5,5
001236.OFCN,1236,,博时丝路主题股票-A,2021-03-31,3,5
001249.OFCN,1249,,易方达新利灵活配置混合,2021-03-31,5,5
001249.OFCN,1249,,易方达新利灵活配置混合,2021-03-31,3,5
001257.OFCN,1257,,兴业收益增强债券-A,2021-03-31,5,5
001285.OFCN,1285,,易方达新鑫灵活配置混合-I,2021-03-31,3,5
001285.OFCN,1285,,易方达新鑫灵活配置混合-I,2021-03-31,5,5
001286.OFCN,1286,,易方达新鑫灵活配置混合-E,2021-03-31,3,5
001286.OFCN,1286,,易方达新鑫灵活配置混合-E,2021-03-31,5,5
001287.OFCN,1287,,安信优势增长灵活配置混合-A,2021-03-31,5,5
001289.OFCN,1289,,银华汇利灵活配置混合-A,2021-03-31,3,5
001289.OFCN,1289,,银华汇利灵活配置混合-A,2021-03-31,5,5
001299.OFCN,1299,,兴业添利债券,2021-03-31,5,5
001299.OFCN,1299,,兴业添利债券,2021-03-31,3,5
001311.OFCN,1311,,华安新回报灵活配置混合,2021-03-31,3,5
001311.OFCN,1311,,华安新回报灵活配置混合,2021-03-31,5,5
001314.OFCN,1314,,易方达新益灵活配置混合-I,2021-03-31,3,5
001314.OFCN,1314,,易方达新益灵活配置混合-I,2021-03-31,5,5
001315.OFCN,1315,,易方达新益灵活配置混合-E,2021-03-31,5,5
001316.OFCN,1316,,安信稳健增值灵活配置混合-A,2021-03-31,5,5
001316.OFCN,1316,,安信稳健增值灵活配置混合-A,2021-03-31,3,5
001320.OFCN,1320,,工银瑞信丰盈回报灵活配置混合,2021-03-31,5,5
001324.OFCN,1324,,华宝新价值灵活配置混合,2021-03-31,5,5
001324.OFCN,1324,,华宝新价值灵活配置混合,2021-03-31,3,5
001325.OFCN,1325,,鹏华弘和灵活配置混合-A,2021-03-31,3,5
001325.OFCN,1325,,鹏华弘和灵活配置混合-A,2021-03-31,5,5
001326.OFCN,1326,,鹏华弘和灵活配置混合-C,2021-03-31,3,5
001326.OFCN,1326,,鹏华弘和灵活配置混合-C,2021-03-31,5,5
001329.OFCN,1329,,鹏华弘实灵活配置混合-A,2021-03-31,3,5
001329.OFCN,1329,,鹏华弘实灵活配置混合-A,2021-03-31,5,5
001330.OFCN,1330,,鹏华弘实灵活配置混合-C,2021-03-31,5,5
001330.OFCN,1330,,鹏华弘实灵活配置混合-C,2021-03-31,3,5
001334.OFCN,1334,,南方利鑫灵活配置混合-A,2021-03-31,3,5
001334.OFCN,1334,,南方利鑫灵活配置混合-A,2021-03-31,5,5
001335.OFCN,1335,,南方利众灵活配置混合-A,2021-03-31,3,5
001335.OFCN,1335,,南方利众灵活配置混合-A,2021-03-31,5,5
001336.OFCN,1336,,鹏华弘益灵活配置混合-A,2021-03-31,5,5
001336.OFCN,1336,,鹏华弘益灵活配置混合-A,2021-03-31,3,5
001337.OFCN,1337,,鹏华弘益灵活配置混合-C,2021-03-31,5,5
001337.OFCN,1337,,鹏华弘益灵活配置混合-C,2021-03-31,3,5
001338.OFCN,1338,,安信稳健增值灵活配置混合-C,2021-03-31,3,5
001338.OFCN,1338,,安信稳健增值灵活配置混合-C,2021-03-31,5,5
001345.OFCN,1345,,富国新收益灵活配置混合-A,2021-03-31,5,5
001347.OFCN,1347,,富国新收益灵活配置混合-C,2021-03-31,5,5
001352.OFCN,1352,,民生加银新战略灵活配置混合-A,2021-03-31,3,5
001352.OFCN,1352,,民生加银新战略灵活配置混合-A,2021-03-31,5,5
001357.OFCN,1357,,泓德泓富灵活配置混合-A,2021-03-31,5,5
001357.OFCN,1357,,泓德泓富灵活配置混合-A,2021-03-31,3,5
001362.OFCN,1362,,景顺长城领先回报灵活配置混合-A,2021-03-31,5,5
001376.OFCN,1376,,泓德泓富灵活配置混合-C,2021-03-31,3,5
001376.OFCN,1376,,泓德泓富灵活配置混合-C,2021-03-31,5,5
001379.OFCN,1379,,景顺长城领先回报灵活配置混合-C,2021-03-31,5,5
001381.OFCN,1381,,鹏华弘泽灵活配置混合-C,2021-03-31,3,5
001381.OFCN,1381,,鹏华弘泽灵活配置混合-C,2021-03-31,5,5
001399.OFCN,1399,,安信鑫安得利灵活配置混合-A,2021-03-31,5,5
001399.OFCN,1399,,安信鑫安得利灵活配置混合-A,2021-03-31,3,5
001400.OFCN,1400,,安信鑫安得利灵活配置混合-C,2021-03-31,5,5
001400.OFCN,1400,,安信鑫安得利灵活配置混合-C,2021-03-31,3,5
001405.OFCN,1405,,东方红策略精选灵活配置混合-A,2021-03-31,5,5
001405.OFCN,1405,,东方红策略精选灵活配置混合-A,2021-03-31,3,5
001406.OFCN,1406,,东方红策略精选灵活配置混合-C,2021-03-31,5,5
001407.OFCN,1407,,景顺长城稳健回报灵活配置混合-C,2021-03-31,5,5
001407.OFCN,1407,,景顺长城稳健回报灵活配置混合-C,2021-03-31,3,5
001410.OFCN,1410,,信达澳银新能源产业股票,2021-03-31,5,5
001410.OFCN,1410,,信达澳银新能源产业股票,2021-03-31,3,5
001412.OFCN,1412,,德邦鑫星价值灵活配置混合-A,2021-03-31,3,5
001412.OFCN,1412,,德邦鑫星价值灵活配置混合-A,2021-03-31,5,5
001415.OFCN,1415,,信诚新锐回报灵活配置混合-A,2021-03-31,3,5
001415.OFCN,1415,,信诚新锐回报灵活配置混合-A,2021-03-31,5,5
001422.OFCN,1422,,景顺长城安享回报灵活配置混合-A,2021-03-31,3,5
001422.OFCN,1422,,景顺长城安享回报灵活配置混合-A,2021-03-31,5,5
001423.OFCN,1423,,景顺长城安享回报灵活配置混合-C,2021-03-31,3,5
001423.OFCN,1423,,景顺长城安享回报灵活配置混合-C,2021-03-31,5,5
001424.OFCN,1424,,博时新起点灵活配置混合-A,2021-03-31,5,5
001425.OFCN,1425,,博时新起点灵活配置混合-C,2021-03-31,5,5
001433.OFCN,1433,,易方达瑞景灵活配置混合,2021-03-31,5,5
001443.OFCN,1443,,易方达瑞选灵活配置混合-I,2021-03-31,3,5
001444.OFCN,1444,,易方达瑞选灵活配置混合-E,2021-03-31,3,5
001445.OFCN,1445,,华安国企改革主题灵活配置混合,2021-03-31,3,5
001445.OFCN,1445,,华安国企改革主题灵活配置混合,2021-03-31,5,5
001457.OFCN,1457,,华商新常态灵活配置混合,2021-03-31,3,5
001473.OFCN,1473,,建信大安全战略精选股票,2021-03-31,3,5
001473.OFCN,1473,,建信大安全战略精选股票,2021-03-31,5,5
001485.OFCN,1485,,华安添颐混合,2021-03-31,5,5
001485.OFCN,1485,,华安添颐混合,2021-03-31,3,5
001496.OFCN,1496,,工银瑞信聚焦30股票,2021-03-31,3,5
001498.OFCN,1498,,建信鑫荣回报灵活配置混合,2021-03-31,3,5
001499.OFCN,1499,,国投瑞银新增长灵活配置混合-A,2021-03-31,5,5
001500.OFCN,1500,,泓德远见回报混合,2021-03-31,3,5
001504.OFCN,1504,,南方利淘灵活配置混合-C,2021-03-31,3,5
001506.OFCN,1506,,景顺长城泰和回报灵活配置混合-A,2021-03-31,5,5
001506.OFCN,1506,,景顺长城泰和回报灵活配置混合-A,2021-03-31,3,5
001507.OFCN,1507,,景顺长城泰和回报灵活配置混合-C,2021-03-31,3,5
001508.OFCN,1508,,富国新动力灵活配置混合-A,2021-03-31,5,5
001508.OFCN,1508,,富国新动力灵活配置混合-A,2021-03-31,3,5
001510.OFCN,1510,,富国新动力灵活配置混合-C,2021-03-31,5,5
001510.OFCN,1510,,富国新动力灵活配置混合-C,2021-03-31,3,5
001522.OFCN,1522,,博时新策略灵活配置混合-A,2021-03-31,3,5
001532.OFCN,1532,,华安文体健康主题灵活配置混合,2021-03-31,3,5
001547.OFCN,1547,,兴业聚惠灵活配置混合-A,2021-03-31,3,5
001547.OFCN,1547,,兴业聚惠灵活配置混合-A,2021-03-31,5,5
001566.OFCN,1566,,南方利达灵活配置混合-A,2021-03-31,3,5
001566.OFCN,1566,,南方利达灵活配置混合-A,2021-03-31,5,5
001570.OFCN,1570,,南方利安灵活配置混合-A,2021-03-31,3,5
001577.OFCN,1577,,嘉实低价策略股票,2021-03-31,3,5
001577.OFCN,1577,,嘉实低价策略股票,2021-03-31,5,5
001578.OFCN,1578,,博时裕瑞纯债债券,2021-03-31,3,5
001578.OFCN,1578,,博时裕瑞纯债债券,2021-03-31,5,5
001596.OFCN,1596,,信诚新泽回报灵活配置混合-A,2021-03-31,3,5
001608.OFCN,1608,,英大策略优选混合-C,2021-03-31,3,5
001623.OFCN,1623,,兴业国企改革灵活配置混合,2021-03-31,5,5
001626.OFCN,1626,,国泰央企改革股票,2021-03-31,5,5
001645.OFCN,1645,,国泰大健康股票-A,2021-03-31,3,5
001667.OFCN,1667,,南方转型增长灵活配置混合,2021-03-31,3,5
001679.OFCN,1679,,前海开源中国稀缺资产灵活配置混合-A,2021-03-31,3,5
001692.OFCN,1692,,南方国策动力股票,2021-03-31,3,5
001695.OFCN,1695,,泓德泓业灵活配置混合,2021-03-31,5,5
001695.OFCN,1695,,泓德泓业灵活配置混合,2021-03-31,3,5
001705.OFCN,1705,,泓德战略转型股票,2021-03-31,3,5
001715.OFCN,1715,,工银瑞信新焦点灵活配置混合-A,2021-03-31,3,5
001716.OFCN,1716,,工银瑞信新趋势灵活配置混合-A,2021-03-31,3,5
001717.OFCN,1717,,工银瑞信前沿医疗股票-A,2021-03-31,3,5
001718.OFCN,1718,,工银瑞信物流产业股票,2021-03-31,3,5
001736.OFCN,1736,,圆信永丰优加生活股票,2021-03-31,3,5
001763.OFCN,1763,,广发多策略灵活配置混合,2021-03-31,3,5
001776.OFCN,1776,,中欧兴利债券,2021-03-31,5,5
001776.OFCN,1776,,中欧兴利债券,2021-03-31,3,5
001802.OFCN,1802,,易方达瑞财灵活配置混合-I,2021-03-31,3,5
001811.OFCN,1811,,中欧明睿新常态混合-A,2021-03-31,3,5
001815.OFCN,1815,,华泰柏瑞激励动力灵活配置混合-A,2021-03-31,3,5
001856.OFCN,1856,,易方达环保主题灵活配置混合,2021-03-31,3,5
001868.OFCN,1868,,招商产业债券-C,2021-03-31,3,5
001868.OFCN,1868,,招商产业债券-C,2021-03-31,5,5
001883.OFCN,1883,,中欧新动力混合(LOF)-E,2021-03-31,3,5
001885.OFCN,1885,,中欧新蓝筹灵活配置混合-E,2021-03-31,3,5
001887.OFCN,1887,,中欧价值智选回报混合-E,2021-03-31,5,5
001887.OFCN,1887,,中欧价值智选回报混合-E,2021-03-31,3,5
001911.OFCN,1911,,博时裕恒纯债债券,2021-03-31,3,5
001941.OFCN,1941,,融通通源短融债券-B,2021-03-31,3,5
001961.OFCN,1961,,博时裕荣纯债债券,2021-03-31,3,5
001983.OFCN,1983,,中邮低碳经济灵活配置混合,2021-03-31,3,5
001993.OFCN,1993,,博时裕泰纯债债券,2021-03-31,3,5
001997.OFCN,1997,,工银瑞信新趋势灵活配置混合-C,2021-03-31,3,5
001998.OFCN,1998,,工银瑞信新焦点灵活配置混合-C,2021-03-31,3,5
002001.OFCN,2001,,华夏回报混合-A,2021-03-31,5,5
002009.OFCN,2009,,中欧瑾通灵活配置混合-A,2021-03-31,3,5
002010.OFCN,2010,,中欧瑾通灵活配置混合-C,2021-03-31,3,5
002046.OFCN,2046,,信诚新锐回报灵活配置混合-B,2021-03-31,3,5
002057.OFCN,2057,,中银新机遇灵活配置混合-A,2021-03-31,3,5
002058.OFCN,2058,,中银新机遇灵活配置混合-C,2021-03-31,3,5
002073.OFCN,2073,,圆信永丰兴融债券-A,2021-03-31,3,5
002074.OFCN,2074,,圆信永丰兴融债券-C,2021-03-31,3,5
002079.OFCN,2079,,前海开源中国稀缺资产灵活配置混合-C,2021-03-31,3,5
002082.OFCN,2082,,华泰柏瑞激励动力灵活配置混合-C,2021-03-31,3,5
002086.OFCN,2086,,大成景安短融债券-E,2021-03-31,3,5
002087.OFCN,2087,,国富新机遇灵活配置混合-A,2021-03-31,3,5
002088.OFCN,2088,,国富新机遇灵活配置混合-C,2021-03-31,3,5
002112.OFCN,2112,,德邦鑫星价值灵活配置混合-C,2021-03-31,3,5
002116.OFCN,2116,,广发安享灵活配置混合-A,2021-03-31,3,5
002117.OFCN,2117,,广发安享灵活配置混合-C,2021-03-31,3,5
002120.OFCN,2120,,广发安悦回报灵活配置混合-A,2021-03-31,3,5
002140.OFCN,2140,,博时裕诚纯债债券,2021-03-31,3,5
002146.OFCN,2146,,长安鑫益增强混合-A,2021-03-31,3,5
002147.OFCN,2147,,长安鑫益增强混合-C,2021-03-31,3,5
002168.OFCN,2168,,嘉实智能汽车股票,2021-03-31,3,5
002169.OFCN,2169,,永赢稳益债券,2021-03-31,3,5
002175.OFCN,2175,,博时裕乾纯债债券-A,2021-03-31,3,5
002177.OFCN,2177,,信诚新泽回报灵活配置混合-B,2021-03-31,3,5
002198.OFCN,2198,,博时裕达纯债债券,2021-03-31,3,5
002245.OFCN,2245,,泰康稳健增利债券-A,2021-03-31,3,5
002246.OFCN,2246,,泰康稳健增利债券-C,2021-03-31,3,5
002262.OFCN,2262,,中银宝利灵活配置混合-C,2021-03-31,3,5
002322.OFCN,2322,,银华汇利灵活配置混合-C,2021-03-31,3,5
002331.OFCN,2331,,泰康安泰回报混合,2021-03-31,3,5
002339.OFCN,2339,,海富通安颐收益混合-C,2021-03-31,3,5
002340.OFCN,2340,,富国价值优势混合,2021-03-31,3,5
002351.OFCN,2351,,易方达裕祥回报债券,2021-03-31,3,5
002354.OFCN,2354,,博时裕腾纯债债券,2021-03-31,3,5
002360.OFCN,2360,,前海开源清洁能源主题精选灵活配置混合-C,2021-03-31,3,5
002413.OFCN,2413,,中银瑞利灵活配置混合-A,2021-03-31,3,5
002414.OFCN,2414,,中银瑞利灵活配置混合-C,2021-03-31,3,5
002434.OFCN,2434,,中银宏利灵活配置混合-A,2021-03-31,3,5
002450.OFCN,2450,,平安睿享文娱灵活配置混合-A,2021-03-31,3,5
002451.OFCN,2451,,平安睿享文娱灵活配置混合-C,2021-03-31,3,5
002455.OFCN,2455,,民生加银鑫喜灵活配置混合,2021-03-31,3,5
002459.OFCN,2459,,华夏鼎利债券-A,2021-03-31,3,5
002460.OFCN,2460,,华夏鼎利债券-C,2021-03-31,3,5
002461.OFCN,2461,,中银珍利灵活配置混合-A,2021-03-31,3,5
002462.OFCN,2462,,中银珍利灵活配置混合-C,2021-03-31,3,5
002482.OFCN,2482,,宝盈互联网沪港深灵活配置混合,2021-03-31,3,5
002486.OFCN,2486,,上银慧添利债券,2021-03-31,3,5
002501.OFCN,2501,,银华远景债券,2021-03-31,3,5
002519.OFCN,2519,,博时裕景纯债债券,2021-03-31,3,5
002548.OFCN,2548,,嘉实稳瑞纯债债券,2021-03-31,3,5
002549.OFCN,2549,,嘉实稳祥纯债债券-A,2021-03-31,3,5
002550.OFCN,2550,,嘉实稳荣债券,2021-03-31,3,5
002556.OFCN,2556,,博时丝路主题股票-C,2021-03-31,3,5
002558.OFCN,2558,,博时鑫瑞灵活配置混合-A,2021-03-31,3,5
002559.OFCN,2559,,博时鑫瑞灵活配置混合-C,2021-03-31,3,5
002562.OFCN,2562,,泓德泓益量化混合,2021-03-31,3,5
002563.OFCN,2563,,泓德泓汇灵活配置混合,2021-03-31,3,5
002569.OFCN,2569,,博时裕弘纯债债券,2021-03-31,3,5
002577.OFCN,2577,,南方新兴龙头灵活配置混合,2021-03-31,3,5
002586.OFCN,2586,,金鹰添利中长期信用债债券-A,2021-03-31,3,5
002587.OFCN,2587,,金鹰添利中长期信用债债券-C,2021-03-31,3,5
002593.OFCN,2593,,富国美丽中国混合-A,2021-03-31,3,5
002618.OFCN,2618,,中银裕利灵活配置混合-A,2021-03-31,3,5
002619.OFCN,2619,,中银裕利灵活配置混合-C,2021-03-31,3,5
002620.OFCN,2620,,中邮未来新蓝筹灵活配置混合,2021-03-31,3,5
002624.OFCN,2624,,广发优企精选灵活配置混合-A,2021-03-31,3,5
002638.OFCN,2638,,兴业天融债券,2021-03-31,3,5
